iterations,timesteps,gradient updates,reward 0,reward 1,reward 2,mean,stdev
0.0,0.0,0.0,-7856.564611744025,-6577.489140234344,-2335.7819505648376,-5589.945234181068,2359.5469230032854
5.0,5000.0,5000.0,-3200.2234073098225,-3902.7949451901704,-4707.98653872642,-3937.0016304088044,616.0167682241726
