iterations,timesteps,gradient updates,reward 0,mean,stdev
1050.0,1050000.0,1050000.0,-133.02575102486452,-133.02575102486452,0.0
1060.0,1060000.0,1060000.0,-133.9375788888405,-133.9375788888405,0.0
1070.0,1070000.0,1070000.0,-146.62928132537985,-146.62928132537985,0.0
1080.0,1080000.0,1080000.0,-145.64541248293955,-145.64541248293955,0.0
1090.0,1090000.0,1090000.0,-134.01867533029608,-134.01867533029608,0.0
1100.0,1100000.0,1100000.0,-131.97388984047967,-131.97388984047967,0.0
1110.0,1110000.0,1110000.0,-126.00544243372028,-126.00544243372028,0.0
1120.0,1120000.0,1120000.0,-132.20133009919363,-132.20133009919363,0.0
1130.0,1130000.0,1130000.0,-128.5531425230549,-128.5531425230549,0.0
1140.0,1140000.0,1140000.0,-123.64576667814961,-123.64576667814961,0.0
1150.0,1150000.0,1150000.0,-339.90257465702604,-339.90257465702604,0.0
1160.0,1160000.0,1160000.0,-136.25659184807083,-136.25659184807083,0.0
1170.0,1170000.0,1170000.0,-132.37744689739597,-132.37744689739597,0.0
1180.0,1180000.0,1180000.0,-126.84992279773994,-126.84992279773994,0.0
1190.0,1190000.0,1190000.0,-130.7614928504267,-130.7614928504267,0.0
1200.0,1200000.0,1200000.0,-119.77018617872189,-119.77018617872189,0.0
1210.0,1210000.0,1210000.0,-114.17184230798799,-114.17184230798799,0.0
1220.0,1220000.0,1220000.0,-132.9279791739646,-132.9279791739646,0.0
1230.0,1230000.0,1230000.0,-138.14503519130096,-138.14503519130096,0.0
1240.0,1240000.0,1240000.0,-143.13167308076436,-143.13167308076436,0.0
1250.0,1250000.0,1250000.0,-126.50884627516082,-126.50884627516082,0.0
1260.0,1260000.0,1260000.0,-122.72044988290456,-122.72044988290456,0.0
1270.0,1270000.0,1270000.0,-121.96855567801954,-121.96855567801954,0.0
1280.0,1280000.0,1280000.0,-121.48772148143837,-121.48772148143837,0.0
1290.0,1290000.0,1290000.0,-115.48488418215022,-115.48488418215022,0.0
1300.0,1300000.0,1300000.0,-117.19446705900937,-117.19446705900937,0.0
1310.0,1310000.0,1310000.0,-113.64934884922813,-113.64934884922813,0.0
1320.0,1320000.0,1320000.0,-113.81754740676153,-113.81754740676153,0.0
1330.0,1330000.0,1330000.0,-111.27479012761721,-111.27479012761721,0.0
1340.0,1340000.0,1340000.0,-110.62478195763349,-110.62478195763349,0.0
1350.0,1350000.0,1350000.0,-109.93389271451603,-109.93389271451603,0.0
1360.0,1360000.0,1360000.0,-104.98148257935922,-104.98148257935922,0.0
1370.0,1370000.0,1370000.0,-115.65527902915653,-115.65527902915653,0.0
1380.0,1380000.0,1380000.0,-101.40312918479037,-101.40312918479037,0.0
1390.0,1390000.0,1390000.0,-99.8623902442399,-99.8623902442399,0.0
1400.0,1400000.0,1400000.0,-99.88554063229466,-99.88554063229466,0.0
1410.0,1410000.0,1410000.0,-214.79046231334195,-214.79046231334195,0.0
1420.0,1420000.0,1420000.0,-141.48420173136785,-141.48420173136785,0.0
1430.0,1430000.0,1430000.0,-125.55615967118281,-125.55615967118281,0.0
1440.0,1440000.0,1440000.0,-114.91063267981528,-114.91063267981528,0.0
1450.0,1450000.0,1450000.0,-182.88452691199362,-182.88452691199362,0.0
1460.0,1460000.0,1460000.0,-190.80685331431104,-190.80685331431104,0.0
1470.0,1470000.0,1470000.0,-146.04989673696033,-146.04989673696033,0.0
1480.0,1480000.0,1480000.0,-152.689685687345,-152.689685687345,0.0
1490.0,1490000.0,1490000.0,-138.68824763559934,-138.68824763559934,0.0
1500.0,1500000.0,1500000.0,-135.13034548849282,-135.13034548849282,0.0
