iterations,timesteps,gradient updates,reward 0,reward 1,reward 2,mean,stdev
0.0,0.0,0.0,-192457.9766517455,-197087.4639636974,-207865.09592792165,-199136.84551445488,6454.70395153893
5.0,81920.0,25.0,-189566.3821725907,-195630.38609092135,-184171.3397293251,-189789.36933094574,4680.792549266031
