iterations,timesteps,gradient updates,reward 0,mean,stdev
350.0,716800.0,1400.0,-563.8646275524072,-563.8646275524072,0.0
360.0,737280.0,1440.0,-560.4546417367529,-560.4546417367529,0.0
370.0,757760.0,1480.0,-551.3565945718187,-551.3565945718187,0.0
380.0,778240.0,1520.0,-567.6605773698333,-567.6605773698333,0.0
390.0,798720.0,1560.0,-548.0176981374221,-548.0176981374221,0.0
400.0,819200.0,1600.0,-553.3373180836131,-553.3373180836131,0.0
410.0,839680.0,1640.0,-568.1009620271858,-568.1009620271858,0.0
420.0,860160.0,1680.0,-552.3130488778058,-552.3130488778058,0.0
430.0,880640.0,1720.0,-568.3970503389464,-568.3970503389464,0.0
440.0,901120.0,1760.0,-554.1567695490563,-554.1567695490563,0.0
450.0,921600.0,1800.0,-563.5391841105505,-563.5391841105505,0.0
460.0,942080.0,1840.0,-563.8181189547115,-563.8181189547115,0.0
470.0,962560.0,1880.0,-562.5269374570394,-562.5269374570394,0.0
480.0,983040.0,1920.0,-569.5740104491698,-569.5740104491698,0.0
490.0,1003520.0,1960.0,-559.7493670853746,-559.7493670853746,0.0
500.0,1024000.0,2000.0,-557.9159332994188,-557.9159332994188,0.0
510.0,1044480.0,2040.0,-556.3287707037648,-556.3287707037648,0.0
520.0,1064960.0,2080.0,-565.4857395005926,-565.4857395005926,0.0
530.0,1085440.0,2120.0,-554.5920852014954,-554.5920852014954,0.0
540.0,1105920.0,2160.0,-556.1441021161376,-556.1441021161376,0.0
550.0,1126400.0,2200.0,-556.4297102197854,-556.4297102197854,0.0
560.0,1146880.0,2240.0,-559.7235203607771,-559.7235203607771,0.0
570.0,1167360.0,2280.0,-561.1865836926781,-561.1865836926781,0.0
580.0,1187840.0,2320.0,-554.3729614598876,-554.3729614598876,0.0
590.0,1208320.0,2360.0,-553.1382777052498,-553.1382777052498,0.0
600.0,1228800.0,2400.0,-559.8405356947694,-559.8405356947694,0.0
610.0,1249280.0,2440.0,-555.7987362300291,-555.7987362300291,0.0
620.0,1269760.0,2480.0,-562.2245761473538,-562.2245761473538,0.0
630.0,1290240.0,2520.0,-564.6598842845802,-564.6598842845802,0.0
640.0,1310720.0,2560.0,-565.9330220143761,-565.9330220143761,0.0
650.0,1331200.0,2600.0,-544.5829716199762,-544.5829716199762,0.0
660.0,1351680.0,2640.0,-548.195344341687,-548.195344341687,0.0
