iterations,timesteps,gradient updates,reward 0,reward 1,reward 2,mean,stdev
0.0,0.0,0.0,-173806.65362575135,-203488.1294018664,-200811.00935358173,-192701.93079373313,13405.604981483752
5.0,5000.0,5000.0,-181453.81881787378,-181945.4881479287,-220632.93192719104,-194677.41296433113,18354.421050636323
