iterations,timesteps,gradient updates,reward 0,mean,stdev
750.0,750000.0,750000.0,-402.0103737011833,-402.0103737011833,0.0
760.0,760000.0,760000.0,-547.7277024911402,-547.7277024911402,0.0
770.0,770000.0,770000.0,-326.0403636624066,-326.0403636624066,0.0
780.0,780000.0,780000.0,-401.70200206742004,-401.70200206742004,0.0
790.0,790000.0,790000.0,-526.1617184271414,-526.1617184271414,0.0
800.0,800000.0,800000.0,-546.4113339079732,-546.4113339079732,0.0
810.0,810000.0,810000.0,-305.9864704686196,-305.9864704686196,0.0
820.0,820000.0,820000.0,-550.1378819306098,-550.1378819306098,0.0
830.0,830000.0,830000.0,-353.89505877827384,-353.89505877827384,0.0
840.0,840000.0,840000.0,-533.4643799484621,-533.4643799484621,0.0
850.0,850000.0,850000.0,-383.63541000901876,-383.63541000901876,0.0
860.0,860000.0,860000.0,-381.73008030014273,-381.73008030014273,0.0
870.0,870000.0,870000.0,-458.0854283062123,-458.0854283062123,0.0
880.0,880000.0,880000.0,-486.55696710927776,-486.55696710927776,0.0
890.0,890000.0,890000.0,-344.5367338790469,-344.5367338790469,0.0
900.0,900000.0,900000.0,-406.58354476942264,-406.58354476942264,0.0
910.0,910000.0,910000.0,-515.0002285561359,-515.0002285561359,0.0
920.0,920000.0,920000.0,-561.619873727994,-561.619873727994,0.0
930.0,930000.0,930000.0,-582.5263847652498,-582.5263847652498,0.0
940.0,940000.0,940000.0,-527.0480364315515,-527.0480364315515,0.0
950.0,950000.0,950000.0,-549.0303429479351,-549.0303429479351,0.0
960.0,960000.0,960000.0,-384.4689468166374,-384.4689468166374,0.0
970.0,970000.0,970000.0,-601.9421057593738,-601.9421057593738,0.0
980.0,980000.0,980000.0,-450.8600126272131,-450.8600126272131,0.0
990.0,990000.0,990000.0,-548.0560659433788,-548.0560659433788,0.0
1000.0,1000000.0,1000000.0,-530.2699770909597,-530.2699770909597,0.0
1010.0,1010000.0,1010000.0,-434.99892938356896,-434.99892938356896,0.0
1020.0,1020000.0,1020000.0,-418.12737490071794,-418.12737490071794,0.0
1030.0,1030000.0,1030000.0,-423.6202533143667,-423.6202533143667,0.0
1040.0,1040000.0,1040000.0,-439.02024830832227,-439.02024830832227,0.0
1050.0,1050000.0,1050000.0,-317.6356795709538,-317.6356795709538,0.0
1060.0,1060000.0,1060000.0,-534.7793656901157,-534.7793656901157,0.0
1070.0,1070000.0,1070000.0,-421.21263634178695,-421.21263634178695,0.0
1080.0,1080000.0,1080000.0,-555.4471862886742,-555.4471862886742,0.0
1090.0,1090000.0,1090000.0,-563.7670795997032,-563.7670795997032,0.0
1100.0,1100000.0,1100000.0,-365.4700794439611,-365.4700794439611,0.0
1110.0,1110000.0,1110000.0,-490.23744284783004,-490.23744284783004,0.0
1120.0,1120000.0,1120000.0,-501.66846555004247,-501.66846555004247,0.0
1130.0,1130000.0,1130000.0,-490.54583286021835,-490.54583286021835,0.0
1140.0,1140000.0,1140000.0,-530.5110325891764,-530.5110325891764,0.0
1150.0,1150000.0,1150000.0,-423.02733427228014,-423.02733427228014,0.0
1160.0,1160000.0,1160000.0,-526.7861352991109,-526.7861352991109,0.0
1170.0,1170000.0,1170000.0,-398.72258102327487,-398.72258102327487,0.0
1180.0,1180000.0,1180000.0,-524.5061532962801,-524.5061532962801,0.0
