iterations,timesteps,gradient updates,reward 0,reward 1,reward 2,mean,stdev
0.0,0.0,0.0,-2302.878082859574,-2790.7619058629944,-2373.7753836900124,-2489.1384574708604,215.23496506722165
5.0,5000.0,5000.0,-1025.4123571405526,-1086.2213509246997,-1276.6322397250951,-1129.4219825967823,107.01270418069704
